SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF,HBESS,PIBESS,GLENSF,HD1WF,GIRGSF,RYANCWF,GPWFEST,RANGEB,WUNUSF
2024-11-25 00:00:00,0.0,29.3,,0.0,16.337,6.1738,,43.35,1.7,12.19,-0.01,0.0,8.20045,0.0,0.0,0,3.1,2.71,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.8,0.0,1629.0,1138.5,33.7,0.02,1.215,11.36,271.0,10.63,0.0,5.0,368.4,64.8,0.0,0.0,0.0,0.0,29.0,0.81,1.91,27.11,,0.0,18.898,0.0,0.06,0.0,1077.06,4.7,0.0,5.62,1.3,4.00702,,,0.0,39.4,0.0,36.41,5.02,,0.0
2024-11-25 00:05:00,0.0,29.9,,0.0,15.617,4.86152,,49.97,1.2,17.72,-0.01,0.0,8.08448,0.0,0.0,0,3.1,2.03,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.4,0.0,1647.0,1143.75,28.9,0.02,1.545,9.06,273.0,11.45,0.0,5.1,352.1,66.54,0.0,0.0,0.0,0.0,25.4,0.81,2.11,26.08,,0.0,16.285,0.0,0.0,0.0,1085.56,4.4,0.0,7.05,1.0,3.27459,,,0.0,42.36,0.0,30.95,5.1,,0.0
2024-11-25 00:10:00,0.0,31.8,,0.0,13.038,4.91646,,53.08,1.0,19.99,-0.01,0.0,8.35482,0.0,0.0,0,3.2,2.87,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.7,0.0,1653.0,1147.88,25.2,0.02,1.665,6.22,272.0,12.46,0.0,3.6,362.1,73.42,0.0,0.0,0.0,0.0,29.1,0.81,1.48,22.92,,0.0,15.893,0.0,0.0,0.0,1079.53,4.0,0.0,11.29,1.0,3.60418,,,0.0,38.22,0.0,30.5,5.74,,0.0
2024-11-25 00:15:00,0.0,35.7,,0.0,12.308,4.96529,,51.42,1.9,21.37,-0.01,0.0,8.81254,0.0,0.0,0,2.9,4.23,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.6,0.0,1635.0,1142.25,27.4,0.02,1.215,2.66,272.0,11.3,0.0,3.6,346.0,77.11,0.0,0.0,0.0,0.0,29.2,0.81,1.38,19.99,,0.0,16.024,0.0,0.0,0.0,1075.59,4.0,0.0,7.95,1.0,3.67742,,,0.0,28.48,0.0,27.22,5.52,,0.0
2024-11-25 00:20:00,0.0,38.3,,0.0,12.482,5.36202,,52.54,2.0,28.58,-0.01,0.0,9.01478,0.0,0.0,0,2.7,5.6,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.8,0.0,1650.0,1149.38,32.4,0.02,1.53,1.12,272.0,10.39,0.0,4.0,355.7,76.08,0.0,0.0,0.0,0.0,26.7,0.81,1.84,14.82,,0.0,16.565,0.0,0.0,0.0,1083.78,4.4,0.0,7.22,1.0,3.86664,,,0.0,32.62,0.0,25.83,4.87,,0.0
2024-11-25 00:25:00,0.0,33.9,,0.0,11.068,7.37621,,54.24,1.9,29.51,-0.01,0.0,8.6784,0.0,0.0,0,3.1,4.96,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.8,0.0,1641.0,1142.25,34.0,0.02,1.635,0.0,271.0,10.63,0.0,4.0,346.9,75.31,0.0,0.0,0.0,0.0,28.3,0.81,2.07,11.74,,0.0,19.187,0.0,0.05,0.0,1078.19,4.0,0.0,10.03,0.9,3.4699,,,0.0,29.28,0.0,27.84,5.51,,0.0
2024-11-25 00:30:00,0.0,31.1,,0.0,10.878,7.30907,,49.89,2.2,27.03,-0.01,0.0,9.77971,0.0,0.0,0,3.1,3.59,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.6,0.0,1643.0,1146.0,37.7,0.02,1.86,0.62,272.0,10.13,0.0,4.8,352.5,75.66,0.0,0.0,0.0,0.0,27.6,0.81,2.16,11.28,,0.0,18.98,0.0,0.0,0.0,1079.81,3.6,0.0,10.26,1.0,4.69062,,,0.0,30.26,0.0,34.1,5.14,,0.0
2024-11-25 00:35:00,0.0,32.4,,0.0,11.565,5.64279,,45.37,2.8,26.53,-0.01,0.0,10.838,0.0,0.0,0,3.1,3.7,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.0,0.0,1652.0,1152.38,38.9,0.02,1.53,0.0,274.0,10.48,0.0,5.7,334.2,69.78,0.0,0.0,0.0,0.0,28.1,0.81,1.81,12.85,,0.0,19.135,0.0,0.0,0.0,1083.78,4.1,0.0,7.85,1.0,4.56245,,,0.0,34.14,0.0,31.24,4.74,,0.0
2024-11-25 00:40:00,0.0,30.8,,0.0,13.133,3.58587,,45.4,2.3,26.85,-0.01,0.0,13.3632,0.0,0.0,0,3.8,2.47,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.3,0.0,1646.0,1145.62,35.9,0.02,1.41,0.0,273.0,9.38,0.0,6.4,324.5,65.7,0.0,0.0,0.0,0.0,25.7,0.81,2.25,13.73,,0.0,20.965,0.0,0.0,0.0,1074.84,3.6,0.0,8.12,0.9,3.76898,,,0.0,39.84,0.0,29.89,4.13,,0.0
2024-11-25 00:45:00,0.0,30.7,,0.0,15.479,4.42206,,45.69,2.7,24.99,-0.01,0.0,13.4605,0.0,0.0,0,3.9,1.56,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.6,0.0,1633.0,1141.88,32.6,0.02,1.305,2.46,272.0,9.93,0.0,4.5,321.4,69.51,0.0,0.0,0.0,0.0,25.5,0.81,1.7,17.23,,0.0,23.293,0.0,0.0,0.0,1077.41,3.2,0.0,9.09,1.1,4.11688,,,0.0,33.82,0.0,28.43,3.36,,0.0
2024-11-25 00:50:00,0.0,31.4,,0.0,15.655,6.40574,,43.9,2.6,25.92,-0.01,0.0,14.6191,0.0,0.0,0,3.3,0.49,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.6,0.0,1650.0,1147.12,28.8,0.02,1.305,6.78,273.0,11.05,0.0,3.6,325.5,73.78,0.0,0.0,0.0,0.0,23.7,0.81,1.52,18.64,,0.0,23.532,0.0,0.0,0.0,1079.56,3.2,0.0,8.14,1.2,4.39765,,,0.0,28.1,0.0,30.89,2.55,,0.0
2024-11-25 00:55:00,0.0,31.1,,0.0,16.008,7.08324,,40.44,2.0,29.98,-0.01,0.0,14.1973,0.0,0.0,0,3.7,0.02,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.8,0.0,1648.0,1147.12,27.8,0.02,1.395,7.69,273.0,10.89,0.0,3.9,329.4,77.21,0.0,0.0,0.0,0.0,27.1,0.81,0.96,16.16,,0.0,22.091,0.0,0.0,0.0,1081.25,3.6,0.0,6.65,1.2,4.09857,,,0.0,24.98,0.0,33.14,1.71,,0.0
2024-11-25 01:00:00,0.0,29.8,,0.0,18.551,7.49218,,38.61,1.7,36.62,-0.01,0.0,13.3868,0.0,0.0,0,3.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.1,0.0,1649.0,1149.0,29.7,0.02,1.095,7.04,272.0,11.07,0.0,3.9,326.3,89.23,0.0,0.0,0.0,0.0,23.2,0.81,0.82,12.53,,0.0,20.948,0.0,0.0,0.0,1081.69,3.4,0.0,4.46,1.5,4.72114,,,0.0,19.3,0.0,29.51,1.52,,0.0
2024-11-25 01:05:00,0.0,32.5,,0.0,21.492,7.82177,,37.22,1.5,37.43,-0.01,0.0,13.6192,0.0,0.0,0,3.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.9,0.0,1653.0,1149.38,28.6,0.02,0.975,6.59,273.0,9.7,0.0,4.1,194.2,95.49,0.0,0.0,0.0,0.0,22.3,0.81,0.6,11.58,,0.0,21.662,0.0,0.0,0.0,1082.59,2.5,0.0,4.51,1.2,5.56954,,,0.0,16.94,0.0,24.13,1.14,,0.0
2024-11-25 01:10:00,0.0,29.7,,0.0,21.802,8.46265,,36.91,1.7,37.75,-0.01,0.0,12.5752,0.0,0.0,0,3.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.8,0.0,1649.0,1148.25,25.0,0.02,0.87,3.9,273.0,10.09,0.0,4.4,189.6,104.74,0.0,0.0,0.0,0.0,25.3,0.81,0.8,7.77,,0.0,20.371,0.0,0.0,0.0,1082.06,2.8,0.0,6.69,1.0,5.45357,,,0.0,16.6,0.0,21.81,1.27,,0.0
2024-11-25 01:15:00,0.0,29.3,,0.0,20.785,7.3579,,32.19,1.9,38.74,-0.01,0.0,13.675,0.0,0.0,0,3.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.8,0.0,1636.0,1144.88,24.9,0.02,1.185,4.57,273.0,8.92,0.0,4.5,190.4,111.04,0.0,0.0,0.0,0.0,21.9,0.81,0.84,6.26,,0.0,22.361,0.0,0.0,0.0,1077.16,2.3,0.0,8.93,0.6,4.57465,,,0.0,14.66,0.0,18.76,1.86,,0.0
2024-11-25 01:20:00,0.0,28.0,,0.0,19.482,6.5095,,31.35,2.3,39.13,-0.01,0.0,12.0387,0.0,0.0,0,3.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.0,0.0,1655.0,1152.0,24.4,0.02,1.59,5.49,274.0,8.1,0.0,4.8,193.0,114.38,0.0,0.0,0.0,0.0,20.9,0.81,0.53,5.96,,0.0,23.962,0.0,0.0,0.0,1084.09,2.4,0.0,7.66,0.8,4.71504,,,0.0,16.68,0.0,19.74,1.02,,0.0
2024-11-25 01:25:00,0.0,26.9,,0.0,17.462,6.07004,,30.48,2.4,35.12,-0.01,0.0,11.7402,0.0,0.0,0,2.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5.8,0.0,1646.0,1147.12,26.0,0.02,1.695,1.98,273.0,9.01,0.0,4.7,193.3,98.6,0.0,0.0,0.0,0.0,22.1,0.81,0.6,1.04,,0.0,22.43,0.0,0.0,0.0,1077.75,2.0,0.0,6.1,0.4,3.65911,,,0.0,16.24,0.0,18.91,0.24,,0.0
